Model,Accuracy,AUC,Precision,Recall,F1,MCC
logistic,0.8878690699988941,0.8700008253001049,0.5969773299748111,0.21723189734188816,0.3185483870967742,0.3133710944757769
decision_tree,0.8754837996240186,0.7093478607668006,0.4841628959276018,0.4903758020164986,0.4872495446265938,0.4164016078134792
knn,0.8911865531350216,0.8260344030267766,0.5858747993579454,0.33455545371219064,0.425904317386231,0.38852298995424694
naive_bayes,0.8289284529470309,0.8107297543279844,0.3440492476060191,0.461044912923923,0.39404622013317664,0.3012050661245518
random_forest,0.9018024991706293,0.9241761868184357,0.6452074391988555,0.41338221814848763,0.5039106145251396,0.4661330912243856
xgboost,0.9081057171292712,0.9285456091268047,0.65625,0.5004582951420715,0.5678627145085804,0.5234432190569401
